comment,cleaned_comment,case_folding,normalization,label,text_en
"Sebenarnya lucu dengan iphone sekarang yang dimana tiap naik seri hpnya upgardenya hanya sedikit dan orang masih pada mau beli, ini aja bang David cuman bahas warna dan fitur layar 120 yang dimana itu warna dan layar sudah bermacam-macam di HP android. Memang rata yang beli iphone pada gengsinya saja??",Sebenarnya lucu dengan iphone sekarang yang dimana tiap naik seri hpnya upgardenya hanya sedikit dan orang masih pada mau beli ini aja bang David cuman bahas warna dan fitur layar  yang dimana itu warna dan layar sudah bermacammacam di HP android Memang rata yang beli iphone pada gengsinya saja,sebenarnya lucu dengan iphone sekarang yang dimana tiap naik seri hpnya upgardenya hanya sedikit dan orang masih pada mau beli ini aja bang david cuman bahas warna dan fitur layar  yang dimana itu warna dan layar sudah bermacammacam di hp android memang rata yang beli iphone pada gengsinya saja,sebenarnya lucu dengan iphone sekarang yang dimana tiap naik seri hpnya upgardenya hanya sedikit dan orang masih pada mau beli ini saja abang david cuman bahas warna dan fitur layar yang dimana itu warna dan layar sudah bermacammacam di hp android memang rata yang beli iphone pada gengsinya saja,0,sebenarnya lucu dengan iphone sekarang yang dimana tiap naik seri hpnya upgardenya hanya sedikit dan orang masih pada mau beli ini saja abang david cuman bahas warna dan fitur layar yang dimana itu warna dan layar sudah bermacammacam di hp android memang rata yang beli iphone pada gengsinya saja
"b aja ga ada yg membuat terkesan kayak wow banget, mending samsung s25 ultra",b aja ga ada yg membuat terkesan kayak wow banget mending samsung s25 ultra,b aja ga ada yg membuat terkesan kayak wow banget mending samsung s25 ultra,b saja tidak ada yang membuat terkesan kayak wow banget mending samsung s25 ultra,0,"There's nothing that really impresses me like wow, it's really better than the Samsung S25 Ultra"
dlu pas iphone x yang d unboxing rasanya kayak waaa cakep banget....tp makin kesini perasaan itu hilang ??,dlu pas iphone x yang d unboxing rasanya kayak waaa cakep bangettp makin kesini perasaan itu hilang ,dlu pas iphone x yang d unboxing rasanya kayak waaa cakep bangettp makin kesini perasaan itu hilang ,dulu pas iphone kali yang di unboxing rasanya kayak wah cakep bangettp makin kesini perasaan itu hilang,0,dulu pas iphone kali yang di unboxing rasanya kayak wah cakep bangettp makin kesini perasaan itu hilang
nonton ini pake iphone xr??,nonton ini pake iphone xr,nonton ini pake iphone xr,menonton ini pakai iphone xr,1,menonton ini pakai iphone xr
"Warna ijo Sange..  Apa sage bang??,,??",Warna ijo Sange  Apa sage bang,warna ijo sange  apa sage bang,warna ijo sange apa sage abang,1,what a great green color bro
Yg pake ip 12 coba setelah update ios 26 pas buka kunci patah2 gak?? bjirrlah nyesel update ios 26 mana batrei nya jadi makin boros udah boros tambah makin boros,Yg pake ip 12 coba setelah update ios 26 pas buka kunci patah2 gak bjirrlah nyesel update ios 26 mana batrei nya jadi makin boros udah boros tambah makin boros,yg pake ip 12 coba setelah update ios 26 pas buka kunci patah2 gak bjirrlah nyesel update ios 26 mana batrei nya jadi makin boros udah boros tambah makin boros,yang pakai iphone 12 coba setelah update ios 26 pas buka kunci patah2 tidak bjirrlah menyesal update ios 26 mana batrei ya jadi makin boros sudah boros tambah makin boros,0,yang pakai iphone 12 coba setelah update ios 26 pas buka kunci patah2 tidak bjirrlah menyesal update ios 26 mana batrei ya jadi makin boros sudah boros tambah makin boros
"iPhone 16 aja belum kebeli, yang 17 sudah keluar lagi.",iPhone 16 aja belum kebeli yang 17 sudah keluar lagi,iphone 16 aja belum kebeli yang 17 sudah keluar lagi,iphone 16 saja belum kebeli yang 17 sudah keluar lagi,1,iphone 16 saja belum kebeli yang 17 sudah keluar lagi
Dan saya tetap masih 0akai seri 13 base,Dan saya tetap masih 0akai seri 13 base,dan saya tetap masih 0akai seri 13 base,dan saya tetap masih 0akai seri 13 base,1,dan saya tetap masih 0akai seri 13 base
Podcast gokil.... Kombinasi pembicara yg unik dalam suatu podcast,Podcast gokil Kombinasi pembicara yg unik dalam suatu podcast,podcast gokil kombinasi pembicara yg unik dalam suatu podcast,podcast gila kombinasi pembicara yang unik dalam suatu podcast,1,crazy podcasts a unique combination of speakers in a podcast
Bahkan 3 bulan gajiku masih kurang buat pajaknya juga ??,Bahkan 3 bulan gajiku masih kurang buat pajaknya juga ,bahkan 3 bulan gajiku masih kurang buat pajaknya juga ,bahkan 3 bulan gajiku masih kurang buat pajaknya juga,0,bahkan 3 bulan gajiku masih kurang buat pajaknya juga
Apanya yg upgrade bos... Apakah anda sudah gak terlalu recpect....,Apanya yg upgrade bos Apakah anda sudah gak terlalu recpect,apanya yg upgrade bos apakah anda sudah gak terlalu recpect,apanya yang upgrade bos apakah anda sudah tidak terlalu recpect,0,What's the upgrade boss? Don't you really respect it anymore?
Hasil foto bagusan 16??,Hasil foto bagusan 16,hasil foto bagusan 16,hasil foto bagusan 16,0,good photo results 16
"sepemahaman w soal hijau sage, sage yg dimaksud itu berasal dari daun sage, jadi warna hijau sage itu maksudnya warna hijau daun sage , sama kaya warna lilac, ntu berasal dari warna bunga lilac<br>CMIIW",sepemahaman w soal hijau sage sage yg dimaksud itu berasal dari daun sage jadi warna hijau sage itu maksudnya warna hijau daun sage  sama kaya warna lilac ntu berasal dari warna bunga lilacCMIIW,sepemahaman w soal hijau sage sage yg dimaksud itu berasal dari daun sage jadi warna hijau sage itu maksudnya warna hijau daun sage  sama kaya warna lilac ntu berasal dari warna bunga lilaccmiiw,sepemahaman gue soal hijau sage sage yang dimaksud itu berasal dari daun sage jadi warna hijau sage itu maksudnya warna hijau daun sage sama kayak warna lilac ntu berasal dari warna bunga lilaccmiiw,1,"as far as I understand about sage green, the meaning of sage comes from sage leaves, so the color of sage green means the green color of sage leaves is the same as the color of lilac, but it comes from the color of lilac flowerscmiiw"
"padahal David pengguna iPhone juga, tapi review dia tetap jujur, gak ada yang dilebih-lebihkan..",padahal David pengguna iPhone juga tapi review dia tetap jujur gak ada yang dilebihlebihkan,padahal david pengguna iphone juga tapi review dia tetap jujur gak ada yang dilebihlebihkan,padahal david pengguna iphone juga tapi review dia tetap jujur tidak ada yang dilebihlebihkan,2,padahal david pengguna iphone juga tapi review dia tetap jujur tidak ada yang dilebihlebihkan
"Makin kesini makin gak mau beli iphone njir, tapi gak tau yg lain sih",Makin kesini makin gak mau beli iphone njir tapi gak tau yg lain sih,makin kesini makin gak mau beli iphone njir tapi gak tau yg lain sih,makin kesini makin tidak mau beli iphone anjir tapi tidak tau yang lain sih,0,makin kesini makin tidak mau beli iphone anjir tapi tidak tau yang lain sih
warna desain kek gimbot  gau tahun 2000an wkwk,warna desain kek gimbot  gau tahun 2000an wkwk,warna desain kek gimbot  gau tahun 2000an wkwk,warna desain kayak gimbot gau tahun 2000an wkwk,0,The color of the design looks like a gimbot from the 2000s haha
"Banyak yang disappointed sama design Apple 17 Pro &amp; Pro Max, terkesan murahan n ngga banget, termasuk sy si, lebih suka design yang regular, sedangkan Air ikut2 kaya Pixel",Banyak yang disappointed sama design Apple 17 Pro amp Pro Max terkesan murahan n ngga banget termasuk sy si lebih suka design yang regular sedangkan Air ikut2 kaya Pixel,banyak yang disappointed sama design apple 17 pro amp pro max terkesan murahan n ngga banget termasuk sy si lebih suka design yang regular sedangkan air ikut2 kaya pixel,banyak yang disappointed sama design apple 17 pro amp pro max terkesan murahan n tidak banget termasuk saya sih lebih suka design yang regular sedangkan air kayak pixel,0,"Many people are disappointed with the design of the Apple 17 Pro Amp Pro Max which seems cheap and not really, including me, I prefer the regular design while the water looks like pixels."
"gimmick Apple soal UX emg ga ada lawan sih, bikin &quot;wow&quot; aja gitu... wkwkkw",gimmick Apple soal UX emg ga ada lawan sih bikin quotwowquot aja gitu wkwkkw,gimmick apple soal ux emg ga ada lawan sih bikin quotwowquot aja gitu wkwkkw,gimmick apple soal ux memang tidak ada lawan sih bikin quotwowquot saja begitu wkwkkw,2,"Apple's gimmick regarding UX really doesn't have any opponents, it just makes ""twow"" like that hahaha"
"Hp cina skip dulu.... tapi memang pasar terbesar mereka ada di kelas menengah kebawah... strategi cina jual murah jual banyak, kualitas... nanti dulu",Hp cina skip dulu tapi memang pasar terbesar mereka ada di kelas menengah kebawah strategi cina jual murah jual banyak kualitas nanti dulu,hp cina skip dulu tapi memang pasar terbesar mereka ada di kelas menengah kebawah strategi cina jual murah jual banyak kualitas nanti dulu,hp cina skip dulu tapi memang pasar terbesar mereka ada di kelas menengah kebawah strategi cina jual murah jual banyak kualitas nanti dulu,0,hp cina skip dulu tapi memang pasar terbesar mereka ada di kelas menengah kebawah strategi cina jual murah jual banyak kualitas nanti dulu
"Jagad itu kalau ngomong suka memuji demi konten ,,,,saya pribsdi lebih suka david geadgeatin,,dia apa adanya kalau jelek ya jelek",Jagad itu kalau ngomong suka memuji demi konten saya pribsdi lebih suka david geadgeatindia apa adanya kalau jelek ya jelek,jagad itu kalau ngomong suka memuji demi konten saya pribsdi lebih suka david geadgeatindia apa adanya kalau jelek ya jelek,jagad itu kalau mengomong suka memuji demi konten saya pribsdi lebih suka david geadgeatindia apa adanya kalau jelek ya jelek,1,"that universe, when you say it, likes to praise for the sake of the content, I personally prefer David Geadgeatindia as he is, if it's bad, it's bad."
Penasaran ama hp yg selesai dia unboxing terus dia kemanain..,Penasaran ama hp yg selesai dia unboxing terus dia kemanain,penasaran ama hp yg selesai dia unboxing terus dia kemanain,penasaran sama hp yang selesai dia unboxing terus dia kemanain,1,I was curious about the cellphone that he finished unboxing and where he went everywhere
Zenfone 10 saya warna itu sdh lama skali bang ??,Zenfone 10 saya warna itu sdh lama skali bang ,zenfone 10 saya warna itu sdh lama skali bang ,zenfone 10 saya warna itu sudah lama sekali abang,1,zenfone 10 saya warna itu sudah lama sekali abang
"Dari awal make hp cuman make 1 ?? bukan gak mampu males ribetnya..<br>Jaman sekarang sekali jalan aja udah charger 3 , iwatch, airpods, iphone ??<br><br>Tapi memang bener sih dari 2010 make iphone 3 sampai sekarang ketinggalan 1/2/3 gen masih sangat cukup ya hmm aja dan masih bisa alesan nabung dulu lah buat next kalo perlu upgrade dan sesignifikan itu..<br><br>Baru tau ternyata keskip soal pandangan update OS itu lumayan yaa??<br>1 M lebih??",Dari awal make hp cuman make 1  bukan gak mampu males ribetnyaJaman sekarang sekali jalan aja udah charger 3  iwatch airpods iphone Tapi memang bener sih dari  make iphone 3 sampai sekarang ketinggalan 123 gen masih sangat cukup ya hmm aja dan masih bisa alesan nabung dulu lah buat next kalo perlu upgrade dan sesignifikan ituBaru tau ternyata keskip soal pandangan update OS itu lumayan yaa1 M lebih,dari awal make hp cuman make 1  bukan gak mampu males ribetnyajaman sekarang sekali jalan aja udah charger 3  iwatch airpods iphone tapi memang bener sih dari  make iphone 3 sampai sekarang ketinggalan 123 gen masih sangat cukup ya hmm aja dan masih bisa alesan nabung dulu lah buat next kalo perlu upgrade dan sesignifikan itubaru tau ternyata keskip soal pandangan update os itu lumayan yaa1 m lebih,dari awal memakai hp cuman memakai 1 bukan tidak mampu malas ribetnyajaman sekarang sekali jalan saja sudah charger 3 iwatch airpods iphone tapi memang benar sih dari memakai iphone 3 sampai sekarang ketinggalan 123 gen masih sangat cukup ya hmm saja dan masih bisa alesan nabung dulu lah buat next kalau perlu upgrade dan sesignifikan itubaru tau ternyata keskip soal pandangan update os itu lumayan yaa1 sama lebih,0,dari awal memakai hp cuman memakai 1 bukan tidak mampu malas ribetnyajaman sekarang sekali jalan saja sudah charger 3 iwatch airpods iphone tapi memang benar sih dari memakai iphone 3 sampai sekarang ketinggalan 123 gen masih sangat cukup ya hmm saja dan masih bisa alesan nabung dulu lah buat next kalau perlu upgrade dan sesignifikan itubaru tau ternyata keskip soal pandangan update os itu lumayan yaa1 sama lebih
Iphone ????????? luar biasa sekali<br>Tidak rugi punya hp jaman sperti sekarang<br>Memang canggih dan cantik????,Iphone  luar biasa sekaliTidak rugi punya hp jaman sperti sekarangMemang canggih dan cantik,iphone  luar biasa sekalitidak rugi punya hp jaman sperti sekarangmemang canggih dan cantik,iphone luar biasa sekalitidak rugi punya hp jaman seperti sekarangmemang canggih dan cantik,2,"The iPhone is extraordinary, it's not a loss to have a cellphone nowadays, it's sophisticated and beautiful"
"<a href=""https://www.youtube.com/watch?v=9-poYwCZxDQ&amp;t=784"">13:04</a> icon pesawatnya pun ikut terbang, yaa nice detail kecil",a href icon pesawatnya pun ikut terbang yaa nice detail kecil,a href icon pesawatnya pun ikut terbang yaa nice detail kecil,a href icon pesawatnya pun ikut terbang ya nice detail kecil,2,"a href icon the plane also flies, nice little detail"
intinya klo anda punya budget lebih dan menginginkan produk berkualitas maka sanagt worth it pake iphone tp klo budget tipis dan tdk mementingkan kualitas silahkan pake hp cina banyak mereknya tuh dari huawei  sampe realme. saya rasa klo untuk merayu yg sdh pernah pake iphone untuk pake hp cina ngga deh mgkin hanya 1 persen saja yg pindah ke hp cina itu pun mgkin krn kondisi ekonomi.,intinya klo anda punya budget lebih dan menginginkan produk berkualitas maka sanagt worth it pake iphone tp klo budget tipis dan tdk mementingkan kualitas silahkan pake hp cina banyak mereknya tuh dari huawei  sampe realme saya rasa klo untuk merayu yg sdh pernah pake iphone untuk pake hp cina ngga deh mgkin hanya 1 persen saja yg pindah ke hp cina itu pun mgkin krn kondisi ekonomi,intinya klo anda punya budget lebih dan menginginkan produk berkualitas maka sanagt worth it pake iphone tp klo budget tipis dan tdk mementingkan kualitas silahkan pake hp cina banyak mereknya tuh dari huawei  sampe realme saya rasa klo untuk merayu yg sdh pernah pake iphone untuk pake hp cina ngga deh mgkin hanya 1 persen saja yg pindah ke hp cina itu pun mgkin krn kondisi ekonomi,intinya kalau anda punya budget lebih dan menginginkan produk berkualitas maka sanagt worth itu pakai iphone tapi kalau budget tipis dan tidak mementingkan kualitas silakan pakai hp cina banyak mereknya tuh dari huawei sampai realme saya rasa kalau untuk merayu yang sudah pernah pakai iphone untuk pakai hp cina tidak deh mungkin hanya 1 persen saja yang pindah ke hp cina itu pun mungkin karena kondisi ekonomi,2,"Basically, if you have more budget and want a quality product then it's really worth using an iPhone, but if your budget is tight and you don't care about quality, please use a Chinese cellphone. There are many brands from Huawei to Realme. I think if you want to persuade those who have already used an iPhone to use a Chinese cellphone, maybe only 1 percent will switch to a Chinese cellphone, maybe because of economic conditions."
"Apple emang pinter mainin strategi planned obsolescence. Dulu keliatan jelas di teknis  update software dibatasi, hardware susah diperbaiki. Sekarang lebih halus, main di psikologis. Desain tiap tahun cuma beda dikit, tapi dibungkus marketing biar orang ngerasa HP lamanya udah ketinggalan. Ada riset konsumen (Journal of Consumer Research, 2018) yang nunjukkin kalau rasa outdated itu sering lebih kuat bikin orang beli baru, daripada produk beneran rusak.",Apple emang pinter mainin strategi planned obsolescence Dulu keliatan jelas di teknis  update software dibatasi hardware susah diperbaiki Sekarang lebih halus main di psikologis Desain tiap tahun cuma beda dikit tapi dibungkus marketing biar orang ngerasa HP lamanya udah ketinggalan Ada riset konsumen Journal of Consumer Research  yang nunjukkin kalau rasa outdated itu sering lebih kuat bikin orang beli baru daripada produk beneran rusak,apple emang pinter mainin strategi planned obsolescence dulu keliatan jelas di teknis  update software dibatasi hardware susah diperbaiki sekarang lebih halus main di psikologis desain tiap tahun cuma beda dikit tapi dibungkus marketing biar orang ngerasa hp lamanya udah ketinggalan ada riset konsumen journal of consumer research  yang nunjukkin kalau rasa outdated itu sering lebih kuat bikin orang beli baru daripada produk beneran rusak,apple memang pintar mainin strategi planned obsolescence dulu kelihatan jelas di teknis update software dibatasi hardware susah diperbaiki sekarang lebih halus main di psikologis desain tiap tahun cuma beda dikit tapi dibungkus marketing biar orang merasa hp lamanya sudah ketinggalan ada riset konsumen journal of consumer research yang nunjukkin kalau rasa outdated itu sering lebih kuat bikin orang beli baru daripada produk benaran rusak,1,"Apple is really good at playing with planned obsolescence strategies. In the past, it was clearly visible technically, software updates were limited by hardware, it was difficult to repair, but now it's more subtle in playing psychologically. The design is only slightly different every year but is wrapped in marketing so that people feel that their old cell phone is outdated. There is consumer research from the Journal of Consumer Research which shows that the feeling of being outdated is often stronger in making people buy new ones rather than products that are actually damaged."
Kapan yh ngerasain apple,Kapan yh ngerasain apple,kapan yh ngerasain apple,kapan ya merasai apple,1,when will you taste apple?
Geng samsung sini kumpul ??,Geng samsung sini kumpul ,geng samsung sini kumpul ,geng samsung sini kumpul,1,the samsung gang is here to gather
Setelah iPhone 17 basic udah 120 hz jadi pengen beli apalagi udah 256 . Menurut gua ini udah paling bener di bandingin iPhone 16 basic yg badut itu,Setelah iPhone 17 basic udah  hz jadi pengen beli apalagi udah   Menurut gua ini udah paling bener di bandingin iPhone 16 basic yg badut itu,setelah iphone 17 basic udah  hz jadi pengen beli apalagi udah   menurut gua ini udah paling bener di bandingin iphone 16 basic yg badut itu,setelah iphone 17 basic sudah hz jadi pengin beli apalagi sudah menurut gua ini sudah paling benar di bandingkan iphone 16 basic yang badut itu,0,"After the iPhone 17 Basic is already available, I want to buy it, especially in my opinion, this is the most correct compared to the clown iPhone 16 Basic."
"gw ngakak pas denger &quot;bagi yang bilang 60hz iphone serasa 120 hz..&quot; wkwkwkw, masih adakah apple fanboy yang bilang gitu ?<a href=""UCkszU2WH9gy1mb0dV-11UJg/xsIfY4OqCd2T29sP54iAsAw""></a>. Gw soalnya punya 2 iphone 2 android, layarnya ada yg 60 hz dan 120 hz. Beda jauh wkwkwkw, sama apaan? kacau tuh fanboy, segitunya ngebela, emangnya mereka pegawai apple?? wkwkwk",gw ngakak pas denger quotbagi yang bilang 60hz iphone serasa  hzquot wkwkwkw masih adakah apple fanboy yang bilang gitu  Gw soalnya punya 2 iphone 2 android layarnya ada yg 60 hz dan  hz Beda jauh wkwkwkw sama apaan kacau tuh fanboy segitunya ngebela emangnya mereka pegawai apple wkwkwk,gw ngakak pas denger quotbagi yang bilang 60hz iphone serasa  hzquot wkwkwkw masih adakah apple fanboy yang bilang gitu  gw soalnya punya 2 iphone 2 android layarnya ada yg 60 hz dan  hz beda jauh wkwkwkw sama apaan kacau tuh fanboy segitunya ngebela emangnya mereka pegawai apple wkwkwk,gue mengakak pas dengar quotbagi yang bilang 60hz iphone serasa hzquot wkwkwkw masih adakah apple fanboy yang bilang begitu gue soalnya punya 2 iphone 2 android layarnya ada yang 60 hz dan hz beda jauh wkwkwkw sama apaan kacau tuh fanboy sebegitunya membela memangnya mereka pegawai apple wkwkwk,0,"I laughed when I heard ""For those who say 60Hz iPhone feels like Hz"" hahahaha, are there still Apple fanboys who say that? Because I have 2 iPhones and 2 Androids, one of the screens is 60Hz and Hz is very different, what a mess, fanboys are so defensive that they are Apple employees, hahaha"
Sya skrng coba motorola smoga konsisten dan buat ekosistem di indonesia,Sya skrng coba motorola smoga konsisten dan buat ekosistem di indonesia,sya skrng coba motorola smoga konsisten dan buat ekosistem di indonesia,saya sekarang coba motorola semoga konsisten dan buat ekosistem di indonesia,1,saya sekarang coba motorola semoga konsisten dan buat ekosistem di indonesia
"jujur aku user iphone yg bingung liat iphone 17 pro...<br>kyk pocco iya, tp katanya bisa nyebarin panas... inovasi fisik mmm aneh, siri gitu&quot; aja (kalah sama ai yg diselipin di hp&quot; lain).... cuma emg ios nya update, kamera update, umumnya hp pada umumnya... kalo ngomongin inovasi untuk sebuah hp menurutku sudah mentok semua, kalo pun ada paling ya chipset, megapixel lebih gede, os baru, ditaruh ai yg emg udh dikembangin developer ai sendiri.... udah sih itu doang, kalo pun ada inovasi paling baru ya nanti arahnya bukan hp lg yg jd daily driver... mungkin teknologi lain yg lebih efisien, simpel dan futuristik ??",jujur aku user iphone yg bingung liat iphone 17 prokyk pocco iya tp katanya bisa nyebarin panas inovasi fisik mmm aneh siri gituquot aja kalah sama ai yg diselipin di hpquot lain cuma emg ios nya update kamera update umumnya hp pada umumnya kalo ngomongin inovasi untuk sebuah hp menurutku sudah mentok semua kalo pun ada paling ya chipset megapixel lebih gede os baru ditaruh ai yg emg udh dikembangin developer ai sendiri udah sih itu doang kalo pun ada inovasi paling baru ya nanti arahnya bukan hp lg yg jd daily driver mungkin teknologi lain yg lebih efisien simpel dan futuristik ,jujur aku user iphone yg bingung liat iphone 17 prokyk pocco iya tp katanya bisa nyebarin panas inovasi fisik mmm aneh siri gituquot aja kalah sama ai yg diselipin di hpquot lain cuma emg ios nya update kamera update umumnya hp pada umumnya kalo ngomongin inovasi untuk sebuah hp menurutku sudah mentok semua kalo pun ada paling ya chipset megapixel lebih gede os baru ditaruh ai yg emg udh dikembangin developer ai sendiri udah sih itu doang kalo pun ada inovasi paling baru ya nanti arahnya bukan hp lg yg jd daily driver mungkin teknologi lain yg lebih efisien simpel dan futuristik ,jujur aku user iphone yang bingung lihat iphone 17 prokyk pocco iya tapi katanya bisa nyebarin panas inovasi fisik mmm aneh siri gituquot saja kalah sama ai yang diselipin di hpquot lain cuma memang ios ya update kamera update umumnya hp pada umumnya kalau mengomongkan inovasi untuk sebuah hp menurutku sudah mentok semua kalau pun ada paling ya chipset megapixel lebih gede os baru ditaruh ai yang memang sudah dikembangin developer ai sendiri sudah sih itu doang kalau pun ada inovasi paling baru ya nanti arahnya bukan hp lagi yang jadi daily driver mungkin teknologi lain yang lebih efisien simpel dan futuristik,0,"To be honest, I'm an iPhone user who is confused when I look at the iPhone 17, Prokyk Pocco, yes, but it says it can spread heat, physical innovation, mmm, that's strange, siri, that's just inferior to AI which is inserted in other cellphones, but it's only iOS, camera updates, cellphone updates in general, if we talk about innovation for a cellphone, I think it's all stuck, even if there is a bigger megapixel chipset, the new OS will be put in AI, which has already been developed by the AI developers themselves, that's all, if at all.There are new innovations, yes, the direction will no longer be cellphones that become daily drivers, perhaps other technologies that are more efficient, simple and futuristic"
gede banget pajak indo yang umrnya cuman 5 juta ini wkwkw,gede banget pajak indo yang umrnya cuman 5 juta ini wkwkw,gede banget pajak indo yang umrnya cuman 5 juta ini wkwkw,gede banget pajak indonesia yang umrnya cuman 5 juta ini wkwkw,0,"Indonesia's taxes are really big, the average amount is only 5 million, wow"
iPhone 17 pro produk gagal total,iPhone 17 pro produk gagal total,iphone 17 pro produk gagal total,iphone 17 pro produk gagal total,0,iphone 17 pro produk gagal total
Ini nih yang ditunggu tungguu,Ini nih yang ditunggu tungguu,ini nih yang ditunggu tungguu,ini nih yang ditunggu tungguu,2,this is what I've been waiting for
Hijaunya agak mirip galaxy s21 fe yang beredar beberapa tahun lalu ya dan sampai sekarang masih gua pake. Cakep si emang tapi apple..... ??????,Hijaunya agak mirip galaxy s21 fe yang beredar beberapa tahun lalu ya dan sampai sekarang masih gua pake Cakep si emang tapi apple ,hijaunya agak mirip galaxy s21 fe yang beredar beberapa tahun lalu ya dan sampai sekarang masih gua pake cakep si emang tapi apple ,hijaunya agak mirip galaxy s21 fe yang beredar beberapa tahun lalu ya dan sampai sekarang masih gua pakai cakep sih memang tapi apple,2,"The green is a bit like the Galaxy S21 Fe which was available a few years ago and I still use it to this day. It's pretty, but Apple"
Iphone 16pro atau 17 biasa yah,Iphone 16pro atau 17 biasa yah,iphone 16pro atau 17 biasa yah,iphone 16pro atau 17 biasa ya,1,iphone 16pro atau 17 biasa ya
17 pro layar pebih warm dari warna nya kliatan beda lebih ke kuning&quot; an,17 pro layar pebih warm dari warna nya kliatan beda lebih ke kuningquot an,17 pro layar pebih warm dari warna nya kliatan beda lebih ke kuningquot an,17 pro layar pebih warm dari warna ya kelihatan beda lebih ke kuningquot an,1,"17 pros: the screen is warmer than the color, yes it looks different, more like yellow"
Banyak komentar .brand indo mana.bisa apa,Banyak komentar brand indo manabisa apa,banyak komentar brand indo manabisa apa,banyak komentar brand indonesia manabisa apa,0,"Lots of comments from Indonesian brands, what can they do?"
Kok bagusan foto iPhone 16 Pro wkwkwk,Kok bagusan foto iPhone 16 Pro wkwkwk,kok bagusan foto iphone 16 pro wkwkwk,kok bagusan foto iphone 16 pro wkwkwk,0,How come the photos on the iPhone 16 Pro are so good hahaha
"Baru kali ini tertarik sama Iphone setelah ngeliat upgrade yang oke, tapi sayang harganya tidak memungkinkan ??",Baru kali ini tertarik sama Iphone setelah ngeliat upgrade yang oke tapi sayang harganya tidak memungkinkan ,baru kali ini tertarik sama iphone setelah ngeliat upgrade yang oke tapi sayang harganya tidak memungkinkan ,baru kali ini tertarik sama iphone setelah melihat upgrade yang oke tapi sayang harganya tidak memungkinkan,2,This is the first time I'm interested in the iPhone after seeing a good upgrade but unfortunately the price doesn't allow it
"Kalau ambil foto jarak dekat pakai zoom 4x+ (17 Pro) atau 5x+ (16 Pro) bakal pakai crop Main camera bang, bukan Telephotonya karena jaraknya terlalu dekat dan diluar range focus telephotonya. Kalau di 16 Pro saya kira-kira minimal 4 meteran baru kepake Telephotonya, kalau 17 Pro kurang tau tapi harusnya bisa sedikit kurang dari itu karena focal lengthnya lebih rendah.",Kalau ambil foto jarak dekat pakai zoom 4x 17 Pro atau 5x 16 Pro bakal pakai crop Main camera bang bukan Telephotonya karena jaraknya terlalu dekat dan diluar range focus telephotonya Kalau di 16 Pro saya kirakira minimal 4 meteran baru kepake Telephotonya kalau 17 Pro kurang tau tapi harusnya bisa sedikit kurang dari itu karena focal lengthnya lebih rendah,kalau ambil foto jarak dekat pakai zoom 4x 17 pro atau 5x 16 pro bakal pakai crop main camera bang bukan telephotonya karena jaraknya terlalu dekat dan diluar range focus telephotonya kalau di 16 pro saya kirakira minimal 4 meteran baru kepake telephotonya kalau 17 pro kurang tau tapi harusnya bisa sedikit kurang dari itu karena focal lengthnya lebih rendah,kalau ambil foto jarak dekat pakai zoom 4x 17 pro atau 5x 16 pro bakal pakai crop main camera abang bukan telephotonya karena jaraknya terlalu dekat dan diluar range focus telephotonya kalau di 16 pro saya kirakira minimal 4 meteran baru kepake telephotonya kalau 17 pro kurang tau tapi harusnya bisa sedikit kurang dari itu karena focal lengthnya lebih rendah,1,kalau ambil foto jarak dekat pakai zoom 4x 17 pro atau 5x 16 pro bakal pakai crop main camera abang bukan telephotonya karena jaraknya terlalu dekat dan diluar range focus telephotonya kalau di 16 pro saya kirakira minimal 4 meteran baru kepake telephotonya kalau 17 pro kurang tau tapi harusnya bisa sedikit kurang dari itu karena focal lengthnya lebih rendah
"Ngakaknya eh, yg review sampe bingung kamera baru yg katanya upgrade malah ga lebih bagus ??????",Ngakaknya eh yg review sampe bingung kamera baru yg katanya upgrade malah ga lebih bagus ,ngakaknya eh yg review sampe bingung kamera baru yg katanya upgrade malah ga lebih bagus ,ngakaknya eh yang review sampai bingung kamera baru yang katanya upgrade malah tidak lebih bagus,0,I don't think the reviewer was confused that the new camera which was said to be an upgrade wasn't actually any better
"pengetahuan ini ttg HP, sangat didapatkan dari Mas Dedi,tp pengetahuan seperti ini tdk didapatkan dari narasumber yg berkecimpung di dunia mobil, yg mana brand cina jg sangat masif,, <br><br>terimakasih Pak helmi, yg sdh , membuka cakrawala Hp melewati mas Dedi",pengetahuan ini ttg HP sangat didapatkan dari Mas Deditp pengetahuan seperti ini tdk didapatkan dari narasumber yg berkecimpung di dunia mobil yg mana brand cina jg sangat masif terimakasih Pak helmi yg sdh  membuka cakrawala Hp melewati mas Dedi,pengetahuan ini ttg hp sangat didapatkan dari mas deditp pengetahuan seperti ini tdk didapatkan dari narasumber yg berkecimpung di dunia mobil yg mana brand cina jg sangat masif terimakasih pak helmi yg sdh  membuka cakrawala hp melewati mas dedi,pengetahuan ini tentang hp sangat didapatkan dari mas deditp pengetahuan seperti ini tidak didapatkan dari narasumber yang berkecimpung di dunia mobil yang mana brand cina juga sangat masif terimakasih pak helmi yang sudah membuka cakrawala hp melewati mas dedi,1,"This knowledge about cellphones really comes from Mas Dedit. Knowledge like this is not obtained from sources who are involved in the world of cars, where Chinese brands are also very massive. Thank you, Mr. Helmi, for opening the horizons of cellphones through Mas Dedi."
